Bearing X,Main Spindle Front Bearing X,Accelerometer,cRIO-01C4243B.VM6.Ch1,3c985a8f-9acc-4d44-96d9-9ba42e1dff5e
Bearing Y,Main Spindle Front Bearing Y,Accelerometer,cRIO-01C4243B.VM6.Ch2,3251d1c3-2a25-47f7-aac1-ff6f7822c305
Bearing Z,Main Spindle Front Bearing Z,Accelerometer,cRIO-01C4243B.VM6.Ch3,98e0e1e2-bf31-49a5-ac94-fe482a77499d
Front Bearing X,Main Sprindle Rear Bearing X,Accelerometer,cRIO-01C4243B.VM8.Ch1,bfb00314-5dd8-46ff-b180-9f5bb9d98357
Front Bearing Y,Main Sprindle Rear Bearing Y,Accelerometer,cRIO-01C4243B.VM8.Ch2,5beb32ec-ddcc-4794-a15c-89a407277694
Front Bearing Z,Main Sprindle Rear Bearing Z,Accelerometer,cRIO-01C4243B.VM8.Ch3,8b232539-a0de-4d29-b6e9-5748b5a3fc38
Operation area,Operation area X,Accelerometer,cRIO-01C4243D.VM7.Ch1,ede4b84a-ed8d-48b4-9215-1d7bbb0b3c1c
Operation area,Operation area Y,Accelerometer,cRIO-01C4243D.VM7.Ch3,dc81fc99-7c4b-4a27-8809-0e663467bb47
Operation area Y,Operation area Y,Accelerometer,cRIO-01C4243D.VM7.Ch2,b19e3915-b783-411e-bb56-fa04b2c00e07
X Ball Screw X,X-drive X,Accelerometer,cRIO-01C4243B.VM7.Ch1,d0e994e0-fcf1-4f3d-a62f-e64361ddba51
X Ball Screw Y,X-drive Y,Accelerometer,cRIO-01C4243B.VM7.Ch2,5a0fb537-4ab9-46d9-b2b0-005c5d3ba896
X Ball Screw Z,X-drive Z,Accelerometer,cRIO-01C4243B.VM7.Ch3,12046117-755d-4fec-9c92-0e698bcce7a7
X left guide X,X-slide 2 X,Accelerometer,cRIO-01C4243D.VM5.Ch1,4722b661-d0fc-4c5f-a6bd-6bcbd6206d81
X left guide Y,X-slide 2 Y,Accelerometer,cRIO-01C4243D.VM5.Ch2,67a24325-fca5-454d-9800-00671cd2c2f6
X left guide Z,X-slide 2 Z,Accelerometer,cRIO-01C4243D.VM5.Ch3,420ecdd0-2b0e-4824-b114-b40435b48ff4
X Right Guide X,X-slide X,Accelerometer,cRIO-01C4243D.VM1.Ch1,77ed6ec2-f78c-45b7-95d2-3428a384482d
X Right Guide Y,X-slide Y,Accelerometer,cRIO-01C4243D.VM1.Ch2,16d536ff-a0c4-45a9-9036-67a9612d9d9b
